Membership Rewards,2.0¢
Ultimate Rewards,2.05¢
Capital One Miles,1.85¢
ThankYou Points,1.80¢
Wells Fargo Rewards,1.60¢
Bilt Rewards,2.05¢
American,1.50¢
Alaska,1.50¢
United,1.35¢
Southwest,1.30¢
Delta,1.25¢
Hilton,0.60¢
Bonvoy,0.70¢
Mesa,1.30¢
IHG,0.60¢
Hyatt,1.70¢
JetBlue,1.35¢
Cash Back,1.0¢
